1, Where Have All the Flowers Gone, Peter, Paul & Mary
2, Father And Son, Yusuf / Cat Stevens
3, City of New Orleans, Arlo Guthrie
4, Diamonds And Rust, Joan Baez
5, Forever Young (Slow Version), Bob Dylan
6, Scarlet Ribbons, The Kingston Trio
7, Vincent, Don McLean
8, Try to Remember, The Brothers Four
9, Victor Jara, Arlo Guthrie
10, I Do It for You, Jane, Harry Chapin
11, Sutter's Mill, Dan Fogelberg
12, The Sound of Silence, Paul Simon
13, Release Me, Roger Miller
14, Autumn to May, Peter, Paul & Mary
