1, Amics dels Cirerers, Pau Vallvé
2, A tientas, Duncan Dhu
3, Dias de Verano, Amaral
4, Los Sofás de Mis Amigos, Amatria
5, Radio Star, Niza
6, Copenhague, Vetusta Morla
7, See How Hard My Heart Is Beating, Wild Honey
8, Autobuses, La Buena Vida
9, Mucho Tiempo Mas, Bel Divioleta
10, Susto de Muerte (Bonus Track), Klaus & Kinski
11, En Que Estrella Estara, Nena Daconte
12, Quin dia feia, amics..., Manel
13, Espíritu santo, Delafé y Las Flores Azules
14, If you wanna be happy., Cristina Quesada
15, Rosas, La Oreja de Van Gogh
