1, 01. Mati Hidup Kembali, Butterfingers
2, 02. Seloka Belalang, Bintang Batu
3, 03. Made In Malaysia, Roots & Boots
4, 04. Gadisku Dalam Koma, The Times
5, 05. Teruna dan Dara, The Lipstik
6, 06. Kau & Aku, Sugar Love Cookies & Melda Ahmad
7, 07. Apparitions, Ferns
8, 08. Stay, Estrella
9, 09. Vio Pipe, Butterfingers
10, 10. This Song Is So Random, I Don't Know Why (Studio Version), An Honest Mistake
11, 11. Cinta Gila, Grey Sky Morning
12, 12. Panik, Bunkface
13, 13. Sumpah Pendekar, Sekumpulan Orang Gila
14, 14. Kotak Hati, Hujan
15, 01. Mati Hidup Kembali, Butterfingers
16, 02. Seloka Belalang, Bintang Batu
17, 03. Made In Malaysia, Roots & Boots
18, 04. Gadisku Dalam Koma, The Times
19, 05. Teruna dan Dara, The Lipstik
20, 06. Kau & Aku, Sugar Love Cookies & Melda Ahmad
21, 07. Apparitions, Ferns
22, 08. Stay, Estrella
23, 09. Vio Pipe, Butterfingers
24, 10. This Song Is So Random, I Don't Know Why (Studio Version), An Honest Mistake
25, 11. Cinta Gila, Grey Sky Morning
26, 12. Panik, Bunkface
27, 13. Sumpah Pendekar, Sekumpulan Orang Gila
28, 14. Kotak Hati, Hujan
