1, 01. Still Not Dead, Willie Nelson
2, 02. Highwayman, Johnny Cash;The Highwaymen;Kris Kristofferson;Willie Nelson
3, 03. I Love How You Love Me, Glen Campbell
4, 04. The Heart That You Own, Dwight Yoakam
5, 05. Old Dogs, Children and Watermelon Wine, John Prine
6, 06. I Hate Love, David Allan Coe
7, 07. I Ain't Living Long Like This, Waylon Jennings
8, 08. Blue Kentucky Girl, Emmylou Harris
9, 09. Shell Game, Jerry Jeff Walker
10, 10. Drinkin' And Drivin', Johnny Paycheck
11, 11. The Angels Rejoiced Last Night, Gram Parsons
12, 12. If You Ever Change Your Mind, Ray Price
