1, 01. What Have We Become(Ft. Limore), Dead Celebrity Status
2, 02. Open Your Eyes, 55 Escape
3, 03. Spaz Out, Army of the Pharaohs
4, 04. Kept On Walking, Rehab
5, 05. Only Time Will Tell, Project Wyze
6, 06. This Is Where The Fun Stops, Snowgoons
7, 07. Look at Me Now, Reveille
8, 08. Qu’est Ce Qu’on Va Laisser, ENHANCER
9, 09. Hope, A Broken Silence
10, 10. I Don't Mind, Falling In Reverse
11, 01. What Have We Become(Ft. Limore), Dead Celebrity Status
12, 02. Open Your Eyes, 55 Escape
13, 03. Spaz Out, Army of the Pharaohs
14, 04. Kept On Walking, Rehab
15, 05. Only Time Will Tell, Project Wyze
16, 06. This Is Where The Fun Stops, Snowgoons
17, 07. Look at Me Now, Reveille
18, 08. Qu’est Ce Qu’on Va Laisser, ENHANCER
19, 09. Hope, A Broken Silence
20, 10. I Don't Mind, Falling In Reverse
