1, 01. Lied für die Götter, Nachtblut
2, 02. And There Was Light, Illnath
3, 03. Beningn Bohemian Brilliance, Enslavement of Beauty
4, 04. Blucher Pt. ll, Vreid
5, 05. Dimmu Borgir, Dimmu Borgir
6, 06. 0545, Agrypnie
7, 07. Inga Broar Kvar Att Bränna, Shining
8, 08. Lahja, Kauan
9, 09. Gone, Dark the Suns
10, 10. Down Below, Cryptic Wintermoon
11, 11. We Used to Speak in Colours, Throes of Dawn
12, 12. Onde Børn, Myrkur
13, 13. Forget Not, Ne Obliviscaris
14, 14. Dämmerung der Szenarien, Imperium Dekadenz
15, 01. Lied für die Götter, Nachtblut
16, 02. And There Was Light, Illnath
17, 03. Beningn Bohemian Brilliance, Enslavement of Beauty
18, 04. Blucher Pt. ll, Vreid
19, 05. Dimmu Borgir, Dimmu Borgir
20, 06. 0545, Agrypnie
21, 07. Inga Broar Kvar Att Bränna, Shining
22, 08. Lahja, Kauan
23, 09. Gone, Dark the Suns
24, 10. Down Below, Cryptic Wintermoon
25, 11. We Used to Speak in Colours, Throes of Dawn
26, 12. Onde Børn, Myrkur
27, 13. Forget Not, Ne Obliviscaris
28, 14. Dämmerung der Szenarien, Imperium Dekadenz
