1, 01. Смерти нет, Эпидемия
2, 02. День Рождения, Кукрыниксы
3, 03. Мало огня, Линда
4, 04. Грильяж (31 число), Мумий Тролль
5, 05. Трава у дома, Приключения электроников; В. Мигуля; А. Поперечный
6, 06. Кладбище кораблей, Lumen
7, 07. Романс, Сплин
8, 08. Я люблю того кто не придёт, Диана Арбенина
9, 09. П.М.М.Л., Zemfira
10, 10. Самая красивая девушка в мире, Ундервуд
11, 01. Смерти нет, Эпидемия
12, 02. День Рождения, Кукрыниксы
13, 03. Мало огня, Линда
14, 04. Грильяж (31 число), Мумий Тролль
15, 05. Трава у дома, Приключения электроников; В. Мигуля; А. Поперечный
16, 06. Кладбище кораблей, Lumen
17, 07. Романс, Сплин
18, 08. Я люблю того кто не придёт, Диана Арбенина
19, 09. П.М.М.Л., Zemfira
20, 10. Самая красивая девушка в мире, Ундервуд
